danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.6250,0.8350,8.0000,-5.6790,0.0000,0.0469,0.3220,0.0000,0.0685,0.8490,169.9450,230893.0000,0
0.6320,0.9600,10.0000,-6.7680,0.0000,0.0484,0.0670,0.8460,0.0937,0.5750,123.9700,192097.0000,0
0.7210,0.7160,10.0000,-7.0370,0.0000,0.0657,0.0334,0.0008,0.2370,0.6670,104.9940,221714.0000,1
0.5980,0.5260,10.0000,-8.6590,0.0000,0.0415,0.1290,0.0000,0.1400,0.5290,123.9350,168387.0000,1
