danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.7400,0.4760,9.0000,-6.1120,1.0000,0.0344,0.0450,0.0000,0.0494,0.5110,100.0900,230120.0000,0
0.5040,0.9630,10.0000,-2.7700,0.0000,0.0828,0.0004,0.0001,0.1020,0.5540,94.9990,178105.0000,0
0.6270,0.8930,11.0000,-10.8270,0.0000,0.0592,0.0022,0.0095,0.1540,0.9080,125.2110,262200.0000,0
0.6990,0.7270,2.0000,-7.8580,1.0000,0.0342,0.0040,0.3250,0.0509,0.6810,121.9650,241967.0000,0
0.4530,0.7240,8.0000,-4.8660,1.0000,0.0471,0.2980,0.0000,0.2520,0.0776,128.0020,193125.0000,0
0.6400,0.7580,10.0000,-5.2040,1.0000,0.1600,0.6650,0.0000,0.1270,0.9320,86.5290,218044.0000,0
0.5620,0.7920,2.0000,-3.6790,0.0000,0.0399,0.5820,0.0000,0.2170,0.4940,101.5190,271773.0000,0
0.7460,0.8160,10.0000,-6.9660,0.0000,0.0431,0.0056,0.0330,0.0777,0.6340,110.0740,321773.0000,0
0.3540,0.8730,7.0000,-6.0160,0.0000,0.0588,0.0011,0.0000,0.2070,0.3500,129.1390,222613.0000,0
0.8080,0.9650,10.0000,-3.6790,0.0000,0.0317,0.0028,0.0000,0.5360,0.9740,120.0120,228000.0000,0
0.4660,0.9260,6.0000,-3.4320,0.0000,0.0720,0.0001,0.0006,0.0731,0.5600,145.0550,219253.0000,0
0.4640,0.5860,11.0000,-8.4530,0.0000,0.0291,0.1780,0.0078,0.1400,0.2370,89.8750,358720.0000,0
0.1990,0.3470,4.0000,-8.7390,1.0000,0.0294,0.1270,0.0000,0.1230,0.1940,175.1750,236400.0000,0
0.6450,0.8720,1.0000,-4.8940,1.0000,0.0871,0.2900,0.0000,0.1410,0.5940,105.3990,204733.0000,0
0.5670,0.8250,8.0000,-5.3240,0.0000,0.0829,0.2110,0.0000,0.3420,0.1020,128.0270,232520.0000,0
0.8370,0.7250,0.0000,-7.6520,1.0000,0.0495,0.0186,0.2600,0.4510,0.0392,120.0100,246000.0000,0
0.7940,0.8270,8.0000,-5.2490,1.0000,0.1170,0.0878,0.0002,0.1090,0.3310,111.9720,164046.0000,0
0.5670,0.3650,8.0000,-11.2350,1.0000,0.0346,0.5270,0.0000,0.2560,0.2850,115.8810,237293.0000,0
0.6970,0.2510,1.0000,-13.6280,0.0000,0.0390,0.5720,0.0039,0.1220,0.5550,72.9500,187242.0000,0
0.5630,0.6800,0.0000,-5.9530,1.0000,0.3900,0.2360,0.0000,0.1220,0.0396,180.2180,110000.0000,0
0.7300,0.6230,9.0000,-6.5000,0.0000,0.0876,0.5940,0.0001,0.1500,0.8730,96.0670,209867.0000,0
0.7660,0.8100,0.0000,-8.8320,1.0000,0.0355,0.1250,0.0004,0.2010,0.7930,129.6530,196125.0000,0
0.5160,0.9660,2.0000,-5.1460,1.0000,0.0426,0.0002,0.0033,0.3060,0.3250,140.0220,252160.0000,0
0.7460,0.8280,6.0000,-12.3690,0.0000,0.0643,0.0010,0.8880,0.1050,0.4420,127.0260,157795.0000,0
0.6110,0.2310,7.0000,-9.4800,1.0000,0.0377,0.7940,0.0000,0.9380,0.1650,99.5670,220200.0000,0
0.6210,0.8140,7.0000,-5.2260,1.0000,0.2750,0.0011,0.0011,0.3690,0.6170,127.9700,290826.0000,0
0.5440,0.5160,0.0000,-6.3630,1.0000,0.0348,0.3430,0.0000,0.1980,0.3250,94.8700,214587.0000,0
0.8210,0.5800,4.0000,-10.2430,0.0000,0.0708,0.0805,0.0021,0.1520,0.3460,120.0120,231493.0000,0
0.7250,0.5580,0.0000,-8.5570,1.0000,0.1250,0.3180,0.0000,0.0976,0.8800,96.9690,144947.0000,0
0.6520,0.7540,9.0000,-4.9290,0.0000,0.2080,0.0062,0.0000,0.1200,0.4290,90.1200,285307.0000,0
0.7220,0.7870,11.0000,-7.3430,1.0000,0.0980,0.2700,0.0006,0.1200,0.9670,125.3210,253500.0000,0
0.3680,0.7880,2.0000,-7.4260,1.0000,0.0838,0.3520,0.0000,0.2360,0.7680,91.8820,232920.0000,0
0.8130,0.7630,11.0000,-1.1990,0.0000,0.2810,0.2810,0.0000,0.1070,0.3620,130.0740,225253.0000,0
0.6780,0.9150,2.0000,-4.3400,1.0000,0.0309,0.0012,0.2920,0.0823,0.1190,124.9620,184368.0000,0
0.6760,0.5510,7.0000,-8.0040,0.0000,0.0629,0.4760,0.0000,0.1490,0.5650,91.0390,166700.0000,0
0.6850,0.3860,0.0000,-10.8540,1.0000,0.0325,0.1320,0.0001,0.0900,0.1180,124.9620,165717.0000,0
0.5800,0.7250,3.0000,-5.2780,1.0000,0.0530,0.0261,0.0000,0.3070,0.3680,90.0540,227872.0000,0
0.7830,0.4640,10.0000,-8.1220,0.0000,0.2930,0.0187,0.2100,0.0699,0.2610,128.1380,243413.0000,0
0.7190,0.8290,10.0000,-9.1280,0.0000,0.1190,0.0117,0.0000,0.1440,0.7060,93.9220,258240.0000,0
0.5870,0.9680,11.0000,-3.8610,0.0000,0.0485,0.0021,0.0812,0.3310,0.3160,126.0560,177143.0000,0
0.5240,0.8640,11.0000,-5.2810,0.0000,0.3930,0.0082,0.0013,0.2150,0.6550,124.9880,275705.0000,0
0.6950,0.8410,5.0000,-6.3560,0.0000,0.1920,0.3060,0.0000,0.4240,0.5310,110.7750,124903.0000,0
0.7000,0.7680,5.0000,-8.7850,0.0000,0.3840,0.1860,0.0003,0.1390,0.5120,94.8400,176740.0000,0
0.7980,0.6750,6.0000,-5.0410,1.0000,0.0442,0.0912,0.0000,0.0894,0.8420,101.9560,219947.0000,0
0.7620,0.8680,7.0000,-8.0630,1.0000,0.0786,0.0004,0.9250,0.0803,0.0395,126.0080,462000.0000,0
0.7600,0.9010,11.0000,-4.9720,0.0000,0.3190,0.0553,0.0000,0.3000,0.7330,159.9740,312139.0000,0
0.8250,0.5850,5.0000,-11.8420,0.0000,0.0595,0.0140,0.9460,0.0731,0.5040,126.0140,473856.0000,0
0.8330,0.8070,8.0000,-4.1870,1.0000,0.0552,0.0072,0.0644,0.1190,0.9260,115.9540,137183.0000,0
0.5950,0.6230,9.0000,-5.3060,1.0000,0.0522,0.6290,0.0000,0.1390,0.3020,144.0730,448120.0000,0
0.2810,0.6540,9.0000,-7.7650,0.0000,0.0359,0.2680,0.0005,0.0631,0.5490,172.0090,206613.0000,0
0.8020,0.7850,9.0000,-4.7810,1.0000,0.2070,0.1400,0.0000,0.1230,0.4350,99.9980,206400.0000,0
0.5390,0.5970,7.0000,-9.5810,1.0000,0.0258,0.0108,0.0055,0.1340,0.2510,139.4440,387133.0000,0
0.6540,0.5700,10.0000,-5.7700,0.0000,0.1090,0.0086,0.0084,0.2650,0.8050,94.5510,86686.0000,0
0.6970,0.9030,7.0000,-7.1510,1.0000,0.2720,0.1680,0.0000,0.3800,0.5610,102.7330,290160.0000,0
0.6520,0.8550,2.0000,-4.8320,1.0000,0.0441,0.0018,0.0000,0.0404,0.2790,134.0090,181673.0000,0
0.8460,0.6680,9.0000,-5.8790,0.0000,0.0427,0.0064,0.5010,0.1280,0.5760,121.0060,174573.0000,0
